"Zip Code","City","State","lat","lng","% of Visits","Visits","YoY Change in Visits","% YoY Change in Visits"
"75060","Irving","TX","32.79772955142046","-96.95296588037226","0.008","29","29","N/A"
"34482","Ocala","FL","29.249854226322796","-82.27702729817432","0.008","29","29","N/A"
"74940","Howe","OK","34.94988533481828","-94.63146198448358","0.008","29","29","N/A"
"78076","Zapata","TX","26.93150344556548","-99.13382399374586","0.008","28","28","N/A"
"92399","Yucaipa","CA","34.044700225052885","-117.00399512748716","0.008","28","28","N/A"
"78230","San Antonio","TX","29.545482417940814","-98.55570868618929","0.008","28","28","N/A"
"27407","Greensboro","NC","36.011162557729904","-79.87587985577022","0.008","28","28","N/A"
"70443","Independence","LA","30.628846261549214","-90.54259747790606","0.008","28","28","N/A"
"73010","Blanchard","OK","35.09988971154817","-97.67196757043642","0.008","28","18","179.99999999999997"
"79081","Spearman","TX","36.21567850286928","-101.21053949553648","0.008","28","-115","-80.41958041958041"
"88252","Jal","NM","32.16344085284075","-103.39460836300992","0.008","28","28","N/A"
"87410","Aztec","NM","36.86703584437207","-107.89433658712842","0.008","28","28","N/A"
"88021","Anthony","NM","31.97336628058284","-106.8163807369575","0.008","28","28","N/A"
"74074","Stillwater","OK","36.07831945126837","-97.06456569439426","0.008","27","-49","-64.47368421052632"
"88312","Alto","NM","33.43186278414624","-105.64392632384997","0.008","27","-55","-67.07317073170731"
"32701","Altamonte Springs","FL","28.66509559331415","-81.36913415061913","0.008","27","27","N/A"
"76052","Haslet","TX","32.98205948554345","-97.38037513739233","0.008","27","27","N/A"
"76821","Ballinger","TX","31.738604870615102","-99.94965087101366","0.008","27","27","N/A"
"78542","Edinburg","TX","26.44409237071044","-98.0916239824691","0.008","27","-3","-9.999999999999998"
"67207","Wichita","KS","37.665677620896275","-97.22921980490854","0.008","27","27","N/A"
"93561","Tehachapi","CA","35.109048915487065","-118.5201639485977","0.008","27","27","N/A"
"74116","Tulsa","OK","36.18813469118049","-95.83619229332704","0.008","27","27","N/A"
"81055","La Veta","CO","37.47725184612984","-105.06633319252548","0.008","27","-60","-68.96551724137932"
"75968","Pineland","TX","31.258825799391172","-93.95925687270628","0.008","27","27","N/A"
"75482","Sulphur Springs","TX","33.1692885734565","-95.60945701417656","0.007","27","11","68.75"
"78959","Waelder","TX","29.69876532112497","-97.3015305518222","0.007","26","26","N/A"
"77048","Houston","TX","29.621559087019218","-95.32984568580122","0.007","26","26","N/A"
"83316","Buhl","ID","42.60622099642328","-114.8850676925317","0.007","26","-5","-16.129032258064512"
"87413","Bloomfield","NM","36.45912574912208","-107.96406422160248","0.007","26","26","N/A"
"78245","San Antonio","TX","29.40102921594024","-98.73556018829787","0.007","26","-45","-63.38028169014085"
"79059","Miami","TX","35.79827730708784","-100.73530788483737","0.007","26","26","N/A"
"67336","Chetopa","KS","37.05388535843031","-95.07486057890918","0.007","26","26","N/A"
"76134","Fort Worth","TX","32.643315703800795","-97.33101302470176","0.007","26","-72","-73.46938775510203"
"79832","Alpine","TX","30.363239999945378","-103.64924663532102","0.007","26","-235","-90.03831417624522"
"74344","Grove","OK","36.59603499949132","-94.73844513269772","0.007","26","-3","-10.344827586206895"
"76132","Fort Worth","TX","32.66744029832885","-97.41826485074604","0.007","26","26","N/A"
"38134","Memphis","TN","35.176780156959374","-89.85991127242065","0.007","26","26","N/A"
"88012","Las Cruces","NM","32.589020473688215","-106.77134292223137","0.007","26","-34","-56.666666666666664"
"77064","Houston","TX","29.922731277300386","-95.54670416661219","0.007","26","-7","-21.212121212121215"
"79928","El Paso","TX","31.678906338788643","-106.11513530936827","0.007","26","26","N/A"
"76837","Eden","TX","31.21098784513968","-99.88177881093026","0.007","26","26","N/A"
"76049","Granbury","TX","32.46757839247389","-97.70644339617552","0.007","26","-43","-62.31884057971014"
"63128","Saint Louis","MO","38.49365387250285","-90.38307401895678","0.007","26","26","N/A"
"75067","Lewisville","TX","33.014152732656285","-97.00268661111656","0.007","25","-513","-95.35315985130111"
"81650","Rifle","CO","39.759266027047204","-108.11195704567892","0.007","25","25","N/A"
"79924","El Paso","TX","31.902238130265076","-106.41354608783183","0.007","25","-6","-19.354838709677423"
"85736","Tucson","AZ","31.876260705770775","-111.37474556864719","0.007","25","25","N/A"
"74126","Tulsa","OK","36.235027407331934","-96.03309003018565","0.007","25","25","N/A"
"67648","Lucas","KS","39.077464183919155","-98.57282625098976","0.007","25","25","N/A"
"78664","Round Rock","TX","30.504655031831618","-97.64577496827383","0.007","25","25","N/A"
